name,start_time,end_time,report,h_type,ini,end,h_max_flow,h_min_flow,h_ramp,h_delay,h_delayed_q,h_flow_penalty
"waterway CMNTronco_1",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"CMNTronco_1","Emb_Colbun",99999,0,99999,0,0,0
"waterway B_Maule-CMNTronco_1",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"B_Maule","CMNTronco_1",99999,0,99999,0,0,0
"spilled HG_OjosdeAgua",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Ojos de Agua","B_C_Isla",99999,0,99999,0,0,0
"waterway B_C_Isla",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"B_C_Isla","B_Maule",99999,0,99999,0,0,0
"waterway HLH_Azufre",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"HLH_Azufre","HG_La Higuera",99999,0,99999,0,0,0
"waterway HLH_Tinguiririca",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"HLH_Tinguiririca","HG_La Higuera",99999,0,99999,0,0,0
"waterway A_Chacayes",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"A_Chacayes","HG_Chacayes",99999,0,99999,0,0,0
"waterway Cipreses_Chac",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"Cipreses_Chac","HG_Chacayes",99999,0,99999,0,0,0
"waterway HLH_Tinguiririca-Confluencia",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"HLH_Tinguiririca","HG_Confluencia",99999,0,99999,0,0,0
"waterway CANECOL",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"CANECOL","CANRUCUE",99999,0,99999,0,0,0
"waterway CANRUCUE",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"CANRUCUE","Balance_Tucapel",99999,0,99999,0,0,0
"waterway CANHORN-Juncal",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"CANHORN","HG_Juncal",99999,0,99999,0,0,0
"spilled HG_Juncalito",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Juncalito","CANACO",99999,0,99999,0,0,0
"waterway Canal_Laja",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"Canal_Laja","HG_Laja I",99999,0,99999,0,0,0
"spilled HG_LomaAlta",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Loma Alta","B_Maule",99999,0,99999,0,0,0
"spilled HG_Isla",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Isla","B_Maule",99999,0,99999,0,0,0
"spilled HG_Curillinque",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Curillinque","B_Maule",99999,0,99999,0,0,0
"waterway CLAJRUCUE",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"CLAJRUCUE","Balance_Tucapel",99999,0,99999,0,0,0
"waterway C_Melado-LosHierros",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"C_Melado","HG_Los Hierros",99999,0,99999,0,0,0
"inflow Afl_Chipreses_Chac -> Cipreses_Chac 1",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Cipreses_Chac","Cipreses_Chac",99999,0,99999,0,0,0
"inflow Afl_A_Chacayes -> A_Chacayes 1",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_A_Chacayes","A_Chacayes",99999,0,99999,0,0,0
"Inflow_ALTORENAICO",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_ALTORENAICO","HG_Alto Renaico",99999,0,99999,0,0,0
"Inflow_Boquiamargo",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Boquiamargo","HG_Boquiamargo",99999,0,99999,0,0,0
"Inflow_Bureo",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Bureo","HG_Bureo",99999,0,99999,0,0,0
"Inflow_Caliboro",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Caliboro","HG_Caliboro",99999,0,99999,0,0,0
"Inflow_ElDiuto",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_ElDiuto","HG_El Diuto",99999,0,99999,0,0,0
"Inflow_ElMirador",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_ElMirador","HG_El Mirador",99999,0,99999,0,0,0
"Inflow_Itata",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Itata","HG_Itata",99999,0,99999,0,0,0
"Inflow_LaBifurcada",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LaBifurcada","HG_La Bifurcada",99999,0,99999,0,0,0
"Inflow_LaVina",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LaVina","HG_La Vi�a-Alto La Vi�a",99999,0,99999,0,0,0
"Inflow_Lleuquereo",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Lleuquereo","HG_Lleuquereo",99999,0,99999,0,0,0
"Inflow_LosPadres",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_LosPadres","HG_Los Padres",99999,0,99999,0,0,0
"Inflow_Mampil",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Mampil","HG_Mampil",99999,0,99999,0,0,0
"Inflow_Melo",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Melo","HG_Melo",99999,0,99999,0,0,0
"Inflow_Peuchen",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Peuchen","HG_Peuchen",99999,0,99999,0,0,0
"Inflow_PMGDMulchen",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_PMGDMulchen","HG_Mulchen",99999,0,99999,0,0,0
"Inflow_Quillaileo",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Quillaileo","HG_Quillaileo",99999,0,99999,0,0,0
"Inflow_Renaico",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Renaico","HG_Renaico Hidro",99999,0,99999,0,0,0
"Inflow_RioPicoiquen",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_RioPicoiquen","HG_Picoiquen",99999,0,99999,0,0,0
"Inflow_PMGDSantaIsabel",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_PMGDSantaIsabel","HG_Santa Isabel",99999,0,99999,0,0,0
"Inflow_ElBrinco",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_ElBrinco","HG_MCH El Brinco",99999,0,99999,0,0,0
"Inflow_El_Pinar",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_El_Pinar","HG_El Pinar",99999,0,99999,0,0,0
"Inflow_Nuble",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Nuble","HG_�uble",99999,0,99999,0,0,0
"Inflow_San_Pedro_Hidro",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_San_Pedro_Hidro","HG_San Pedro",99999,0,99999,0,0,0
"Inflow_Trupan",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Trupan","HG_Trup�n",99999,0,99999,0,0,0
"Inflow_Hid_Ancoa01",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Hid_Ancoa01","HG_Hid_Ancoa01",99999,0,99999,0,0,0
