name,start_time,end_time,report,coordinates,connected,busbar,control_areas,zone,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,auxserv,flex,is_ncre,forced_commit,unavailability,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"SAN_RARINCO_EO",2023-12-01-00:00,2060-01-01-00:00,true,0,false,"Concepcion500",SEN,"Profile_SanRarinco",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SARCO_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Sarco",169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"TALTAL_EO",2018-01-01-00:00,2023-12-31-00:00,true,0,true,"Cumbre500",SEN,"Profile_EolicaTaltal",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.001183171,0,50,0,500,None
"TALTAL_EO_RBC",2024-01-01-00:00,2060-01-01-00:00,true,0,true,"Parinas500",SEN,"Profile_Eolica_TalTalEol02",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003888651,0,50,0,500,None
"TALINAY_ORIENTE_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaTalinayOriente",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.001122527,0,50,0,500,None
"TALINAY_PONIENTE_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPandeAzucar500",SEN,"Profile_EolicaTalinayPoniente",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00408153,0,50,0,500,None
"TOLPAN_SUR_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"Profile_San_Gabriel",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"UCUQUER_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_Eol_Polpaico500",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"UCUQUER_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"MESAMAVIDA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LOS_OLMOS_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"Profile_ElNogal_Eol",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.0051,0,30,0,500,None
"RENAICO_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ParqueEolicoRenaico",144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,2000,0,1,0.0038,0,30,0,500,None
"CABO_LEONES_I_EXT_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"OCHS_EO",2021-07-01-00:00,2060-01-01-00:00,true,0,true,"Pichirropulli500",SEN,"Profile_Eol_Pichirropulli500",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CABO_LEONES_III_FASE_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Eol_NuevaMaitencillo500",110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"EL_CRUCE_EO",2021-06-01-00:00,2060-01-01-00:00,true,0,true,"Pichirropulli500",SEN,"Profile_Eol_Pichirropulli500",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CAMPO_LINDO_I_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCharrua500",SEN,"Profile_Eol_NuevaCharrua500",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CABO_LEONES_II_FASE_II_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"VIENTOS_DEL_LAGO_EO",2025-12-01-00:00,2060-01-01-00:00,true,0,false,"NuevaPuertoMontt500",SEN,"Profile_Puelche_Sur",132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:04,false,0,0,1,0.005062647,0,50,0,500,None
"DA�ICALQUI_EO",2025-12-01-00:00,2060-01-01-00:00,true,0,false,"Concepcion500",SEN,"Profile_EolicaCuel",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"SAN_ANDRES_EO",2025-11-01-00:00,2060-01-01-00:00,true,0,false,"Mulchen500",SEN,"Profile_PEol_Malleco",120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"COLINAS_EO",2025-12-01-00:00,2060-01-01-00:00,true,0,false,"NuevaCharrua500",SEN,"Profile_Eol_NuevaCharrua500",188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:07,false,0,0,1,0.005062647,0,50,0,500,None
"ATACAMA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_Cabo_Leones_I",165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CARDONAL_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"MANANTIALES_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CAMPO_LINDO_II_EO",2022-04-01-00:00,2060-01-01-00:00,true,0,false,"NuevaCharrua500",SEN,"Profile_Eol_NuevaCharrua500",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"LEBU_NORTE_EO",2024-07-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LA_CABA�A_ETAPA_1_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ParqueEolicoRenaico",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003797389,0,50,0,500,None
"LA_CABA�A_ETAPA_2_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_ParqueEolicoRenaico",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003797389,0,50,0,500,None
"SAN_MATIAS_E1_EO",2024-02-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"LONCUALHUE_EO",2026-12-01-00:00,2060-01-01-00:00,true,0,true,"NuevaCharrua500",SEN,"Profile_Eol_NuevaCharrua500",187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"HORIZONTE I_EO",2024-04-01-00:00,2060-01-01-00:00,true,0,true,"Parinas500",SEN,"Profile_Eolica_TalTalEol02",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003888651,0,50,0,500,None
"HORIZONTE II_EO",2024-06-01-00:00,2060-01-01-00:00,true,0,true,"Parinas500",SEN,"Profile_Eolica_TalTalEol02",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003888651,0,50,0,500,None
"LOMAS_DE_TALTAL_EO",2024-12-01-00:00,2060-01-01-00:00,true,0,true,"Parinas500",SEN,"Profile_Eolica_TalTalEol02",342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003888651,0,50,0,500,None
"ANTOFAGASTA_EO",2025-05-01-00:00,2060-01-01-00:00,true,0,true,"Parinas500",SEN,"Profile_Eolica_TalTalEol02",364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.003888651,0,50,0,500,None
"PMGD_CH1_BUTALCURA_EO",2024-07-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Aurora",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"PMGD_CH2_BUTALCURA_EO",2024-07-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,"Profile_Aurora",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"CERRILLOS_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"Profile_LaEstrella",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SAN_MATIAS_E2_EO",2025-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"Profile_EolicaCuel",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.002871961,0,50,0,500,None
"CERRO_TIGRE_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaZaldivar220",SEN,"Profile_Cerro_Tigre",185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,220,None
"CKANI_EO",2022-05-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_Ckani",107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"SIERRA_GORDA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_SIERRAGORDAESTE",112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012330357,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"TCHAMMA_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_Tchamma",155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010529196,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.005062647,0,50,0,500,None
"VALLE_DE_LOS_VIENTOS_EO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaZaldivar220",SEN,"Profile_VALLEDELOSVIENTOS",89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012222222,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00131342,0,50,0,500,None
