name,start_time,end_time,report,connected,coordinates,busbari,busbarf,max_flow,max_flow_reverse,r,x,branch_associated_ess,branch_ovf_ab,branch_ovf_ba,dc,losses,binary_loss_model,candidate,branch_recourse,branch_recourse_start_time,dimensioned,branch_inv_cost,initial_investment,lifetime,voltage,owner
"Tr4_NuevaZaldivar500_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,false,false,0,"NuevaZaldivar220","NuevaZaldivar220",750,750,0.0002,0.0096,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L4_Lagunas220_Kimal220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Lagunas220","Kimal220",250,250,0.005371901,0.02892562,,0,0,true,true,false,true,false,1970-01-01-00:00,true,128,0,40,220,None
"L4_Kimal220_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal220","NuevaZaldivar220",250,250,0.017458678,0.092975207,,0,0,true,true,false,true,false,1970-01-01-00:00,true,88,0,40,220,None
"L4_Kimal220_LosChangos220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal220","LosChangos220",250,250,0.030826446,0.103305785,,0,0,true,true,false,true,false,1970-01-01-00:00,true,50,0,40,220,None
"Tr4_Kimal500_Kimal220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","Kimal220",750,750,0.0002,0.0096,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L4_Kimal500_LosChangos500",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","LosChangos500",1500,1500,0.0006844,0.0072,,0,0,true,true,false,true,false,1970-01-01-00:00,true,70.83333333,0,40,500,None
"Tr4_LosChangos500_LosChangos220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos500","LosChangos220",750,750,0.0000667,0.0064,,0,0,true,true,false,true,false,1970-01-01-00:00,true,28.18666667,0,40,220,None
"L4_LosChangos220_NuevaZaldivar220",2030-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos220","NuevaZaldivar220",250,250,0.009946281,0.094008264,,0,0,true,true,false,true,false,1970-01-01-00:00,true,99.6,0,40,220,None
"L4_Polpaico500_AltoJahuel500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"Polpaico500","AltoJahuel500",1500,1500,0.00035972,0.004,,0,0,true,true,false,true,false,1970-01-01-00:00,true,61.33333333,0,40,500,None
"L4_AltoJahuel500_Ancoa500",2030-01-01-00:00,2060-01-01-00:00,true,false,0,"AltoJahuel500","Ancoa500",1500,1500,0.000596,0.0032,,0,0,true,true,false,true,false,1970-01-01-00:00,true,160.8487718,0,40,500,None
