name,start_time,end_time,report,power
"profile_CSP_Antofagasta_865_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_912_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_954_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1102_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1152_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1172_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1425_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1503_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1511_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1531_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1536_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1538_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1664_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1686_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1712_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1871_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Coquimbo_1899_9h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_64_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_72_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_76_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_80_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_86_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_90_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_AricayParinacota_94_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_96_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_131_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_169_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_176_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_192_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_311_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_324_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_332_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_336_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_355_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_375_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_407_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Tarapaca_419_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_429_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_438_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_509_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_585_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_594_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_672_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_693_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_698_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_700_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_708_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_723_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_865_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_912_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_954_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1102_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1152_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1172_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Antofagasta_1425_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1503_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1511_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1531_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1536_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1538_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1664_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1686_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1712_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Atacama_1871_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"profile_CSP_Coquimbo_1899_13h",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_1",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_2",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_3",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_4",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_5",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_7",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_9",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_10",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_11",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_12",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_13",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_14",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Antofagasta_18",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Atacama_19",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Atacama_20",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Atacama_21",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Atacama_22",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Coquimbo_23",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Coquimbo_24",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Coquimbo_25",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Coquimbo_26",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Coquimbo_27",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Coquimbo_28",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Coquimbo_29",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Coquimbo_30",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Valparaiso_32",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Metropolitana_33",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Metropolitana_34",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Metropolitana_35",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Ohiggins_36",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Maule_37",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Maule_38",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Eolica_Maule_39",1970-01-01-00:00,2050-01-01-00:00,true,0
