stage,block,NuevaCharrua500,Cumbre500,Pichirropulli500,Polpaico500,NuevaAncud500,AltoJahuel500,NuevaCardones500,Ancoa500,RioMalleco500,NuevaPandeAzucar500,NuevaMaitencillo500,NuevaPuertoMontt500,Parinas500,NuevaZaldivar220,Kimal500,LosChangos500,Lagunas220,Kimal220,LosChangos220,Parinacota220,NuevaPozoAlmonte220,Quillota500,Rapel500,Concepcion500,Mulchen500,Candelaria500
193,21,0.0,45.595654846376675,103.33202102895675,1598.0438549534433,0.0,1315.1749337431334,282.55480014473267,521.3249047256877,0.0,422.87576932266086,162.7702200203608,190.8642676253108,2.029752989447594,1434.476325980475,0.0,0.0,403.42204409330975,810.1937636794066,0.0,44.88190345424886,64.99549237715559,707.2749166828191,0.0,538.2455262670333,173.721066956089,0.0
193,22,0.0,46.038451209686855,101.22809692470184,1571.7654095455068,0.0,1299.5256023328361,275.44142364599253,517.3229495109549,0.0,419.39772460343175,163.9650116858043,194.11078897110042,2.0432779826560217,1463.0314510483427,0.0,0.0,391.80748517455913,814.537153092498,0.0,44.72616364968751,68.03886035946846,710.1639948155236,0.0,549.6098789045615,171.39624592503947,0.0
193,23,0.0,45.94692347955808,106.72144687434903,1639.87124344331,0.0,1367.977734384896,282.0702051446335,541.6004651549547,0.0,469.6512811935447,176.12549970688727,213.8663677852328,1.9889899639743096,1464.9783919560336,0.0,0.0,406.45825066609564,807.9677051275903,0.0,52.991909399248584,73.19149327260942,755.8285911526655,0.0,596.0277167994775,195.15449374175017,0.0
193,24,0.0,45.89744902673412,116.34410961782714,1660.117770420322,0.0,1400.003866499556,287.8733802637173,554.7833762895198,0.0,477.38259757259664,176.8218507326446,242.80860962743498,2.0497186235977023,1439.5216237063537,0.0,0.0,416.3109547483908,816.2796590630722,0.0,52.05170245056132,72.46831672710856,768.7464887709002,0.0,626.4863819247087,218.60434688484614,0.0
194,1,0.0,39.257977583207975,121.25877713001867,1761.0396724744735,0.0,1478.1541135281552,282.8958115241906,592.3653045010703,0.0,440.71646286847755,165.22577359571943,284.1769474820438,2.039072745556886,1320.8420021789475,0.0,0.0,388.531803164705,774.2620880143547,0.0,51.56717863143395,70.63024299245757,728.9286998824164,0.0,609.3086933509883,223.1175836354447,0.0
194,2,0.0,39.11450167344875,106.10556341708141,1613.8913474717447,0.0,1300.2574528172322,272.18087693513735,528.4327415768449,0.0,399.43039527821406,162.2204691739899,258.580465663103,2.0508239723438026,1316.5084902372414,0.0,0.0,371.7599693619685,765.8700188098801,0.0,44.71462737593481,67.48141176489341,653.2005286978554,0.0,544.2196387166232,189.92957696316267,0.0
194,3,0.0,38.434227948344414,104.24137920211567,1545.901277973666,0.0,1251.6003450307437,269.65021395742116,503.4262171799828,0.0,390.42100214398613,165.49698392262226,254.63927378367333,2.045334168741649,1297.96021992402,0.0,0.0,354.36378884018023,769.9988138702562,0.0,41.346033153248705,66.14052191914297,633.4232160862581,0.0,527.1942645184113,180.39306616296824,0.0
194,4,0.0,36.34887979832221,110.33407885420135,1572.009123267191,0.0,1300.4765696406616,258.6780252048155,508.24071353447613,0.0,393.3333408975755,158.68740398737998,257.7723795204234,2.0697610233491828,1270.5565117560413,0.0,0.0,346.3926776320169,753.9013774266446,0.0,40.64808811931083,65.58307332456792,638.8581154190372,0.0,539.5275064786382,183.73796174020794,0.0
194,5,0.0,34.090371075667036,125.00367933036762,1822.6870896922542,0.0,1516.4776668908758,254.14317285743516,608.5781589732869,0.0,428.36521350226064,152.91868544487056,288.0401661856846,2.0074417087644925,1221.548046063165,0.0,0.0,359.8546187042883,720.5791688389513,0.0,47.154550923686344,65.23655123081633,714.8322872697984,0.0,615.4181964336199,231.4560999990119,0.0
194,6,0.0,34.67664332913503,138.32577639515452,2046.3615620054466,0.0,1741.041854144693,267.0477590946017,677.332811978584,0.0,483.3644156342047,156.90621130666761,317.49277824248225,2.0099407040154738,1250.6474760156789,0.0,0.0,388.3179857312711,715.483268677173,0.0,56.37780804812087,69.57561052446331,807.1798085054229,0.0,694.3467140007908,267.2417383253445,0.0
