name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate,kind
Eolica_LosRios_94,Pichirropulli500,Profile_Eolica_LosRios_94,13.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_95,Pichirropulli500,Profile_Eolica_LosRios_95,58.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_96,Pichirropulli500,Profile_Eolica_LosRios_96,228.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_97,Pichirropulli500,Profile_Eolica_LosRios_97,152.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_98,Mulchen500,Profile_Eolica_LosRios_98,469.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_99,RioMalleco500,Profile_Eolica_LosRios_99,423.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_100,Pichirropulli500,Profile_Eolica_LosRios_100,420.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_101,Pichirropulli500,Profile_Eolica_LosRios_101,80.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_102,RioMalleco500,Profile_Eolica_LosRios_102,6.0,0.0,0.0,1483.0,True,wind
Eolica_LosRios_103,Pichirropulli500,Profile_Eolica_LosRios_103,128.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_105,Pichirropulli500,Profile_Eolica_LosLagos_105,38.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_106,Pichirropulli500,Profile_Eolica_LosLagos_106,182.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_107,Pichirropulli500,Profile_Eolica_LosLagos_107,75.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_108,Pichirropulli500,Profile_Eolica_LosLagos_108,60.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_109,NuevaAncud500,Profile_Eolica_LosLagos_109,645.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_111,NuevaPuertoMontt500,Profile_Eolica_LosLagos_111,18.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_112,NuevaAncud500,Profile_Eolica_LosLagos_112,1593.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_113,NuevaPuertoMontt500,Profile_Eolica_LosLagos_113,826.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_114,Pichirropulli500,Profile_Eolica_LosLagos_114,313.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_117,NuevaAncud500,Profile_Eolica_LosLagos_117,4957.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_118,NuevaAncud500,Profile_Eolica_LosLagos_118,2167.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_123,NuevaAncud500,Profile_Eolica_LosLagos_123,601.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_124,NuevaAncud500,Profile_Eolica_LosLagos_124,590.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_125,NuevaAncud500,Profile_Eolica_LosLagos_125,745.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_126,NuevaPuertoMontt500,Profile_Eolica_LosLagos_126,266.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_127,NuevaPuertoMontt500,Profile_Eolica_LosLagos_127,282.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_128,NuevaPuertoMontt500,Profile_Eolica_LosLagos_128,997.0,0.0,0.0,1483.0,True,wind
Eolica_LosLagos_130,NuevaPuertoMontt500,Profile_Eolica_LosLagos_130,222.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_15,Parinas500,Profile_Eolica_Antofagasta_15,2010.0,0.0,0.0,1483.0,True,wind
Eolica_Antofagasta_16,Parinas500,Profile_Eolica_Antofagasta_16,1439.0,0.0,0.0,1483.0,True,wind
