name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate
FV_Ohiggins_133,Rapel500,Profile_FV_Ohiggins_133,10000.0,0.0,0.0,809.0,True
FV_Ohiggins_134,Rapel500,Profile_FV_Ohiggins_134,8816.41,0.0,0.0,809.0,True
FV_Ohiggins_135,Candelaria500,Profile_FV_Ohiggins_135,10000.0,0.0,0.0,809.0,True
FV_Ohiggins_137,Rapel500,Profile_FV_Ohiggins_137,49.775601,0.0,0.0,809.0,True
FV_Ohiggins_139,Candelaria500,Profile_FV_Ohiggins_139,506.294564,0.0,0.0,809.0,True
FV_Tarapaca_10,Lagunas220,Profile_FV_Tarapaca_10,5398.3,0.0,0.0,809.0,True
FV_Tarapaca_11,Lagunas220,Profile_FV_Tarapaca_11,10000.0,0.0,0.0,809.0,True
FV_Tarapaca_12,Lagunas220,Profile_FV_Tarapaca_12,75.718995,0.0,0.0,809.0,True
FV_Tarapaca_13,Lagunas220,Profile_FV_Tarapaca_13,10000.0,0.0,0.0,809.0,True
FV_Tarapaca_14,NuevaPozoAlmonte220,Profile_FV_Tarapaca_14,10000.0,0.0,0.0,809.0,True
FV_Tarapaca_15,Lagunas220,Profile_FV_Tarapaca_15,10000.0,0.0,0.0,809.0,True
FV_Tarapaca_16,NuevaPozoAlmonte220,Profile_FV_Tarapaca_16,10000.0,0.0,0.0,809.0,True
FV_Tarapaca_17,NuevaPozoAlmonte220,Profile_FV_Tarapaca_17,10000.0,0.0,0.0,809.0,True
FV_Tarapaca_18,NuevaPozoAlmonte220,Profile_FV_Tarapaca_18,10000.0,0.0,0.0,809.0,True
FV_Tarapaca_19,Parinacota220,Profile_FV_Tarapaca_19,4653.907807,0.0,0.0,809.0,True
FV_Valparaiso_101,Rapel500,Profile_FV_Valparaiso_101,2669.934936,0.0,0.0,809.0,True
FV_Valparaiso_102,Rapel500,Profile_FV_Valparaiso_102,2985.73,0.0,0.0,809.0,True
FV_Valparaiso_105,Quillota500,Profile_FV_Valparaiso_105,2201.29,0.0,0.0,809.0,True
FV_Valparaiso_106,Quillota500,Profile_FV_Valparaiso_106,5432.06,0.0,0.0,809.0,True
FV_Valparaiso_107,Polpaico500,Profile_FV_Valparaiso_107,24.369728,0.0,0.0,809.0,True
FV_Valparaiso_109,Quillota500,Profile_FV_Valparaiso_109,16.154936,0.0,0.0,809.0,True
FV_Valparaiso_110,Quillota500,Profile_FV_Valparaiso_110,2016.75,0.0,0.0,809.0,True
FV_Valparaiso_111,Polpaico500,Profile_FV_Valparaiso_111,1141.03,0.0,0.0,809.0,True
FV_Valparaiso_115,Quillota500,Profile_FV_Valparaiso_115,9.75,0.0,0.0,809.0,True
Fatima 015 A I,AltoJahuel500,Profile_ElPicurio,23.381075,0.0,0.0,0.0,False
Fatima 015 B I,AltoJahuel500,Profile_PV_AltoJahuel500,18.99712344,0.0,0.0,0.0,False
GRANJA_SOLAR_FV,Lagunas220,Profile_Granja_Solar,105.0,0.0,0.0,0.0,False
GRAN_TENO_FV,AltoJahuel500,Profile_ElPicurio,200.0,0.0,0.0,0.0,False
Graneros 015 I,AltoJahuel500,Profile_PV_AltoJahuel500,32.31459408,0.0,0.0,0.0,False
Graneros 015 II,AltoJahuel500,Profile_PV_AltoJahuel500,41.0824972,0.0,0.0,0.0,False
H. Fuentes 023 I,NuevaCardones500,Profile_PV_NuevaCardones500,20.45844063,0.0,0.0,0.0,False
H. Fuentes 023 II,NuevaCardones500,Profile_PV_NuevaCardones500,23.381075,0.0,0.0,0.0,False
HUATACONDO_FV,Lagunas220,Profile_Huatacondo,98.0,0.0,0.0,0.0,False
Hospital 015 I,AltoJahuel500,Profile_ElPicurio,27.86244771,0.0,0.0,0.0,False
Huala�e 13.2 I,Ancoa500,Profile_PV_Ancoa500,2.727792084,0.0,0.0,0.0,False
Hualte 066 I,Concepcion500,Profile_ElPitio,8.767903126,0.0,0.0,0.0,False
Hualte 13.2 I,Concepcion500,Profile_PV_Concepcion500,2.922634375,0.0,0.0,0.0,False
Huasco 13.2 I,NuevaMaitencillo500,Profile_ElPelicano,8.767903126,0.0,0.0,0.0,False
Illapel 023 I,Quillota500,Profile_PV_Quillota500,25.32949792,0.0,0.0,0.0,False
Imperial 023 I,Concepcion500,Profile_ElPitio,11.49569521,0.0,0.0,0.0,False
Incahuasi 023 I,NuevaPandeAzucar500,Profile_PV_NuevaPandeAzucar500,4.817670504,0.0,0.0,0.0,False
Isla de Maipo 012 I,AltoJahuel500,Profile_PV_AltoJahuel500,21.43265208,0.0,0.0,0.0,False
