time,scenario,L_NuevaCharrua500,L_Cumbre500,L_Pichirropulli500,L_Polpaico500,L_Ancud500,L_AltoJahuel500,L_NuevaCardones500,L_Ancoa500,L_RioMalleco500,L_NuevaPandeAzucar500,L_NuevaMaitencillo500,L_NuevaPuertoMontt500,L_Parinas500,L_NuevaZaldivar220,L_Kimal500,L_LosChangos500,L_Lagunas220,L_Kimal220,L_LosChangos220,L_Parinacota220,L_NuevaPozoAlmonte220,L_Quillota500,L_Rapel500,L_Concepcion500,L_Mulchen500,L_Candelaria500
2024-01-03-07:00,demanda_2024,0,45.32140551,109.6105241,1686.312705,0,1396.022221,283.6818579,510.0193619,0,421.7562308,172.5089774,273.7658361,1.887601113,1431.976071,0,0,385.769016,673.6409959,0,41.96763566,72.37562783,685.815863,0,557.1427123,186.4677224,0
2024-01-03-08:00,demanda_2024,0,43.87261477,122.8952019,1938.170819,0,1610.705798,287.7858848,565.2865297,0,469.3554709,168.7420833,302.3558653,1.806405097,1444.713963,0,0,393.8864351,657.6114046,0,47.80728812,73.7770115,790.273856,0,634.0009256,231.6192877,0
2024-01-03-09:00,demanda_2024,0,44.08968099,137.1026477,2104.99541,0,1758.886204,283.3338556,615.5989127,0,516.3532394,171.814687,331.7611996,1.806405097,1388.091705,0,0,417.106434,651.6811116,0,53.51346281,65.89422834,866.8583723,0,687.5509812,259.278056,0
2024-01-03-10:00,demanda_2024,0,41.66156826,146.4337418,2206.193316,0,1858.666887,288.2658879,649.35614,0,544.0416863,168.2546029,348.0265347,1.770060831,1395.412818,0,0,433.9161108,643.3758909,0,57.17297835,62.18640069,894.6643043,0,719.736548,273.8744672,0
2024-01-03-11:00,demanda_2024,0,41.0961865,149.5202418,2285.160706,0,1948.994026,290.5939032,668.5136604,0,554.0800445,174.5918482,356.0437007,1.770060831,1421.5657,0,0,443.1832071,620.5259944,0,59.86478006,64.60962664,916.3799492,0,736.6424989,282.8612772,0
2024-01-03-12:00,demanda_2024,0,41.25267609,149.4088732,2308.539838,0,2005.862188,291.1219067,669.4693311,0,565.093202,174.6361646,359.3049206,1.796445616,1424.824231,0,0,446.7541747,625.313324,0,60.75463186,66.82848412,926.3990907,0,744.8773074,281.1440524,0
2024-01-03-13:00,demanda_2024,0,44.3370355,147.6508409,2346.085243,0,2043.685003,294.0259257,672.4098561,0,564.885798,174.2668613,354.3859138,1.796445616,1403.70726,0,0,406.4109507,648.4676985,0,60.39869114,65.16434101,933.8402732,0,742.5607717,276.0610668,0
2024-01-03-14:00,demanda_2024,0,46.31587162,148.6292933,2408.158397,0,2090.20093,303.4579875,695.0518987,0,553.8519,176.009973,358.10914,1.903166405,1424.993505,0,0,418.238692,652.4024901,0,60.71013927,69.95240191,936.1030232,0,762.3782589,285.3684255,0
2024-01-03-15:00,demanda_2024,0,46.2250067,150.347551,2467.276256,0,2113.947125,308.1860184,706.5787569,0,556.0089026,176.4383649,358.4080852,1.903166405,1446.87221,0,0,417.0890146,660.3798115,0,60.95484851,67.82113089,949.9497018,0,755.4603851,284.7731209,0
2024-01-03-16:00,demanda_2024,0,45.73534573,150.498694,2463.627005,0,2108.5809,308.894023,708.1078299,0,551.9023015,179.9541328,351.8584682,1.946501078,1470.443659,0,0,403.1012734,670.0387879,0,59.78691803,71.12022164,937.6790678,0,745.4881747,276.5418897,0
